fyear,16/17
,
Row Labels,Average of num.visits
Dec-16/17,258.5806452
Sunday,241.5
Monday,253.0
Tuesday,282.8
Wednesday,278.5
Thursday,259.6
Friday,262.0
Saturday,237.0
Feb-16/17,256.5714286
Sunday,257.5
Monday,270.8
Tuesday,264.0
Wednesday,251.5
Thursday,253.0
Friday,252.3
Saturday,247.0
Jan-16/17,266.0645161
Sunday,261.8
Monday,290.4
Tuesday,269.4
Wednesday,272.8
Thursday,250.8
Friday,253.3
Saturday,258.3
Nov-16/17,255.2
Sunday,255.3
Monday,270.3
Tuesday,249.0
Wednesday,254.2
Thursday,262.3
Friday,259.3
Saturday,238.0
Oct-16/17,253.4516129
Sunday,243.8
Monday,272.0
Tuesday,274.3
Wednesday,246.0
Thursday,251.5
Friday,257.8
Saturday,232.0
Grand Total,258.0198675
